CompoundName,smiles_std,vDILI-Concern,dili_label
Corticorelin ovine triflutate,CCC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(N)=O)NC(=O)C(CO)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(CCSC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(NC(=O)C1CCCN1C(=O)C1CCCN1C(=O)C(CCC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(N)CO)C(C)CC)C(C)O)C(C)C)C(C)O)C(=O)NC(C)C(N)=O,vNo-DILI-concern,0
Copanlisib dihydrochloride,COc1c(OCCCN2CCOCC2)ccc2c3n(c(=NC(=O)c4cnc(N)nc4)nc12)CCN3,vNo-DILI-concern,0
Conivaptan hydrochloride,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,vNo-DILI-concern,0
Colistimethate sodium,CCC(C)CCCCC(=O)NCCC1NC(=O)C(CC(C)C)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(C(C)O)NC1=O,vNo-DILI-concern,0
Gallium ga-68 edotreotide,CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(Cc2ccccc2)NC(=O)CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1,vNo-DILI-concern,0
Rifamycin sodium,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,vNo-DILI-concern,0
Gadopentetate dimeglumine,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,vNo-DILI-concern,0
Gadofosveset trisodium,O=C(O)CN(CCN(CC(=O)O)CC(COP(=O)(O)OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)O)CC(=O)O)CC(=O)O,vNo-DILI-concern,0
Remimazolam besylate,COC(=O)CCC1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,vNo-DILI-concern,0
Ramelteon,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,vNo-DILI-concern,0
Folic acid,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,vNo-DILI-concern,0
Pafolacianine sodium,CC1(C)C(=CC=C2CCCC(C=CC3=[N+](CCCCS(=O)(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)=C2Oc2ccc(CC(NC(=O)c3ccc(NCc4cnc5nc(N)[nH]c(=O)c5n4)cc3)C(=O)O)cc2)N(CCCCS(=O)(=O)O)c2ccc(S(=O)(=O)O)cc21,vNo-DILI-concern,0
Deoxycholic acid,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,vNo-DILI-concern,0
Ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,vNo-DILI-concern,0
Regadenoson,CNC(=O)c1cnn(-c2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)c1,vNo-DILI-concern,0
Oxytocin,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,vNo-DILI-concern,0
Deflazacort,CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,vNo-DILI-concern,0
Fosdenopterin hydrobromide,Nc1nc2c(c(=O)[nH]1)NC1C(N2)OC2COP(=O)(O)OC2C1(O)O,vNo-DILI-concern,0
Oxymorphone hydrochloride,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,vNo-DILI-concern,0
Gadobutrol,O=C(O)CN1CCN(CC(=O)O)CCN(C(CO)C(O)CO)CCN(CC(=O)O)CC1,vNo-DILI-concern,0
Daunorubicin hydrochloride,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,vNo-DILI-concern,0
Reserpine,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,vNo-DILI-concern,0
Frovatriptan succinate,CNC1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,vNo-DILI-concern,0
Darifenacin hydrobromide,NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,vNo-DILI-concern,0
Riboflavin 5'-phosphate,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C,vNo-DILI-concern,0
Dapagliflozin,CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1,vNo-DILI-concern,0
Gabapentin enacarbil,CC(OC(=O)NCC1(CC(=O)O)CCCCC1)OC(=O)C(C)C,vNo-DILI-concern,0
Dalfampridine,Nc1ccncc1,vNo-DILI-concern,0
Gadobenate dimeglumine,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)C(COCc1ccccc1)C(=O)O,vNo-DILI-concern,0
Gallium ga-68 gozetotide,O=C(O)CCc1ccc(O)c(CN(CCN(CC(=O)O)Cc2cc(CCC(=O)NCCCCCC(=O)NCCCCC(NC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)ccc2O)CC(=O)O)c1,vNo-DILI-concern,0
Codeine sulfate,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,vNo-DILI-concern,0
Ganirelix acetate,CCNC(=NCCCCC(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1cccnc1)NC(=O)C(Cc1ccc(Cl)cc1)NC(=O)C(Cc1ccc2ccccc2c1)NC(C)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCCN=C(NCC)NCC)C(=O)N1CCCC1C(=O)NC(C)C(N)=O)NCC,vNo-DILI-concern,0
Sodium fluoride f-18,[Na+],vNo-DILI-concern,0
Norepinephrine bitartrate,NCC(O)c1ccc(O)c(O)c1,vNo-DILI-concern,0
Setmelanotide acetate,CC(=O)NC(CCCN=C(N)N)C(=O)NC1CSSCC(C(N)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2cnc[nH]2)NC(=O)C(C)NC1=O,vNo-DILI-concern,0
Chlorpheniramine maleate,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,vNo-DILI-concern,0
Nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],vNo-DILI-concern,0
Sincalide,CSCCC(NC(=O)C(Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)C(N)CC(=O)O)C(=O)NCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,vNo-DILI-concern,0
Hydroxyzine hydrochloride,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,vNo-DILI-concern,0
Etidronate disodium,CC(O)(P(=O)(O)O)P(=O)(O)O,vNo-DILI-concern,0
Nitazoxanide,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,vNo-DILI-concern,0
Sodium bicarbonate,O=C(O)O,vNo-DILI-concern,0
Sodium lactate,CC(O)C(=O)O,vNo-DILI-concern,0
Norethindrone acetate,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,vNo-DILI-concern,0
Sodium nitroprusside,O,vNo-DILI-concern,0
Sodium oxybate,O=C(O)CCCO,vNo-DILI-concern,0
Sodium thiosulfate,O=S(O)(O)=S,vNo-DILI-concern,0
Sodium zirconium cyclosilicate,O[Si]1(O)O[Si](O)(O)O[Si](O)(O)O1,vNo-DILI-concern,0
Sofosbuvir,CC(C)OC(=O)C(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(C)(F)C1O)Oc1ccccc1,vNo-DILI-concern,0
Solriamfetol hydrochloride,NC(=O)OCC(N)Cc1ccccc1,vNo-DILI-concern,0
Sorbitol,OCC(O)C(O)C(O)C(O)CO,vNo-DILI-concern,0
Ibutilide fumarate,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,vNo-DILI-concern,0
Hydrocortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,vNo-DILI-concern,0
Choline c-11,C[N+](C)(C)CCO,vNo-DILI-concern,0
Rocuronium bromide,C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1,vNo-DILI-concern,0
Sapropterin dihydrochloride,CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,vNo-DILI-concern,0
Roflumilast,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,vNo-DILI-concern,0
Rolapitant hydrochloride,CC(OCC1(c2ccccc2)CCC2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,vNo-DILI-concern,0
Romidepsin,CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,vNo-DILI-concern,0
Orphenadrine hydrochloride,Cc1ccccc1C(OCCN(C)C)c1ccccc1,vNo-DILI-concern,0
Opicapone,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,vNo-DILI-concern,0
Glycopyrrolate,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,vNo-DILI-concern,0
Rubidium chloride rb-82,[Rb+],vNo-DILI-concern,0
Safinamide mesylate,CC(NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,vNo-DILI-concern,0
Guaifenesin,COc1ccccc1OCC(O)CO,vNo-DILI-concern,0
Clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,vNo-DILI-concern,0
Selexipag,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,vNo-DILI-concern,0
Clemastine fumarate,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,vNo-DILI-concern,0
Guanethidine monosulfate,NC(N)=NCCN1CCCCCCC1,vNo-DILI-concern,0
Sarecycline hydrochloride,CON(C)Cc1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O,vNo-DILI-concern,0
Nystatin,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,vNo-DILI-concern,0
Cisatracurium besylate,COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,vNo-DILI-concern,0
Histamine phosphate,NCCc1cnc[nH]1,vNo-DILI-concern,0
Cinacalcet hydrochloride,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,vNo-DILI-concern,0
Scopolamine,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,vNo-DILI-concern,0
Selegiline hydrochloride,C#CCN(C)C(C)Cc1ccccc1,vNo-DILI-concern,0
Pamabrom,Cn1c(=O)c2[nH]c(Br)nc2n(C)c1=O,vNo-DILI-concern,0
Deutetrabenazine,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,vNo-DILI-concern,0
Flutemetamol f-18,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,vNo-DILI-concern,0
Eliglustat tartrate,CCCCCCCC(=O)NC(CN1CCCC1)C(O)c1ccc2c(c1)OCCO2,vNo-DILI-concern,0
Ephedrine sulfate,CNC(C)C(O)c1ccccc1,vNo-DILI-concern,0
Enzalutamide,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,vNo-DILI-concern,0
Perampanel,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,vNo-DILI-concern,0
Pramlintide acetate,CCC(C)C(NC(=O)C1CCCN1C(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(C)NC(=O)C1CSSCC(NC(=O)C(N)CCCCN)C(=O)NC(CC(N)=O)C(=O)NC(C(C)O)C(=O)NC(C)C(=O)NC(C(C)O)C(=O)N1)C(C)O)C(C)C)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NCC(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(N)=O)C(C)O)C(C)C)C(C)O,vNo-DILI-concern,0
Pentazocine lactate,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,vNo-DILI-concern,0
Fenoldopam mesylate,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,vNo-DILI-concern,0
Empagliflozin,OCC1OC(c2ccc(Cl)c(Cc3ccc(OC4CCOC4)cc3)c2)C(O)C(O)C1O,vNo-DILI-concern,0
Primaquine phosphate,COc1cc(NC(C)CCCN)c2ncccc2c1,vNo-DILI-concern,0
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,vNo-DILI-concern,0
Polidocanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,vNo-DILI-concern,0
Ferric maltol,Cc1occc(=O)c1O,vNo-DILI-concern,0
Ferumoxytol,[Fe+2],vNo-DILI-concern,0
Edrophonium chloride,CC[N+](C)(C)c1cccc(O)c1,vNo-DILI-concern,0
Fesoterodine fumarate,CC(C)C(=O)Oc1ccc(CO)cc1C(CCN(C(C)C)C(C)C)c1ccccc1,vNo-DILI-concern,0
Pentagastrin,CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,vNo-DILI-concern,0
Edaravone,CC1=NN(c2ccccc2)C(=O)C1,vNo-DILI-concern,0
Ecallantide,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C2CSSCC3NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(Cc4ccccc4)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CSSCC(NC(=O)C4CCCN4C(=O)CNC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(Cc4ccccc4)NC(=O)C(C)NC(=O)C(NC(=O)C(Cc4ccccc4)NC(=O)C(CO)NC(=O)C(Cc4cnc[nH]4)NC(=O)C(CCSC)NC(=O)C(C)NC(=O)C(N)CCC(=O)O)CSSCC(C(=O)NC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(=O)O)C(=O)O)C(C)O)NC(=O)C(CCSC)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC3=O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(Cc3cnc[nH]3)C(=O)N3CCCC3C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc3c[nH]c4ccccc34)C(=O)NC(Cc3ccccc3)C(=O)NC(Cc3ccccc3)C(=O)NC(CC(N)=O)C(=O)NC(C(C)CC)C(=O)NC(Cc3ccccc3)C(=O)NC(C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(N)=O)C(=O)N2)NC(=O)CNC(=O)CNC(=O)C(Cc2ccc(O)cc2)NC1=O,vNo-DILI-concern,0
Fexofenadine hydrochloride,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,vNo-DILI-concern,0
Dyphylline,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,vNo-DILI-concern,0
Epinephrine,CNCC(O)c1ccc(O)c(O)c1,vNo-DILI-concern,0
Plerixafor,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,vNo-DILI-concern,0
Dutasteride,CC12C=CC(=O)NC1CCC1C2CCC2(C)C(C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CCC12,vNo-DILI-concern,0
Pimavanserin tartrate,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,vNo-DILI-concern,0
Ethanolamine oleate,CCCCCCCCC=CCCCCCCCC(=O)O,vNo-DILI-concern,0
Etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,vNo-DILI-concern,0
Etelcalcetide,CC(=O)NC(CSSCC(N)C(=O)O)C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(N)=O,vNo-DILI-concern,0
Phentolamine mesylate,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,vNo-DILI-concern,0
Phendimetrazine tartrate,CC1C(c2ccccc2)OCCN1C,vNo-DILI-concern,0
Physostigmine salicylate,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,vNo-DILI-concern,0
Phytonadione,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C,vNo-DILI-concern,0
Piflufolastat f-18,O=C(O)CCC(NC(=O)NC(CCCCNC(=O)c1ccc(F)nc1)C(=O)O)C(=O)O,vNo-DILI-concern,0
Estazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,vNo-DILI-concern,0
Esmolol hydrochloride,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,vNo-DILI-concern,0
Epoetin alfa,COC1C(O)CC(=O)OC(C)CC=CC=CC(OC2CC(C)(O)C(O)C(C)O2)C(C)CC(CCO)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,vNo-DILI-concern,0
Pimozide,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,vNo-DILI-concern,0
Pindolol,CC(C)NCC(O)COc1cccc2[nH]ccc12,vNo-DILI-concern,0
Ertugliflozin,CCOc1ccc(Cc2cc(C34OCC(CO)(O3)C(O)C(O)C4O)ccc2Cl)cc1,vNo-DILI-concern,0
Exenatide synthetic,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(N)=O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NC(CO)C(N)=O,vNo-DILI-concern,0
Ergocalciferol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,vNo-DILI-concern,0
Eptifibatide,NC(=O)C1CSSCCC(=O)NC(CCCCN=C(N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N2CCCC2C(=O)N1,vNo-DILI-concern,0
Perflutren,FC(F)(F)C(F)(F)C(F)(F)F,vNo-DILI-concern,0
Pitolisant hydrochloride,Clc1ccc(CCCOCCCN2CCCCC2)cc1,vNo-DILI-concern,0
Procyclidine hydrochloride,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,vNo-DILI-concern,0
Droxidopa,NC(C(=O)O)C(O)c1ccc(O)c(O)c1,vNo-DILI-concern,0
Dexbrompheniramine maleate,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,vNo-DILI-concern,0
Fluoroestradiol f-18,CC12CCC3c4ccc(O)cc4CCC3C1CC(F)C2O,vNo-DILI-concern,0
Fludrocortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,vNo-DILI-concern,0
